
====================================================================================================
RATE-NOISE AMPLITUDE SWEEP, SETPOINT CONVENTION (NO MEAN RENORMALISATION): run-time reduction at matched balanced fidelity
  Same sweep as `noise` but with delta = 0 taken as the laser setpoint, so the mean rate is free to move. Mean-preserving renormalisation pushes the median switching gain below 1 when the photon order is ~4, which makes the typical shot easier and could mask harm; this is the cross-check.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: no rate noise
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.60       2.82        4.23       4.23        2.66     1.06    [1.05,1.08]    0.67      0.67
                           0.61       3.17        4.23       4.23        2.96     1.07    [1.06,1.09]    0.75      0.75
                           0.62       3.52        4.23       4.23        3.25     1.08    [1.07,1.10]    0.83      0.83
                           0.63       3.87        4.23       4.23        3.57     1.08    [1.07,1.10]    0.91      0.91
                           0.64       4.25        4.23       4.23        4.23     1.00    [1.00,1.09]    1.00      1.00
                           0.65       4.60        4.23       4.23        4.23     1.09    [1.04,1.10]    1.09      1.09
                           0.66       5.03        4.87       4.87        4.70     1.07    [1.06,1.10]    1.03      1.03
                           0.67       5.44        5.15       5.15        4.93     1.10    [1.09,1.12]    1.06      1.06
                           0.68       5.86        5.44       5.44        5.21     1.12    [1.12,1.13]    1.08      1.08
                           0.69       6.27        5.76       5.76        5.54     1.13    [1.12,1.14]    1.09      1.09
                           0.70       6.71        6.09       6.09        5.90     1.14    [1.13,1.15]    1.10      1.10
                           0.71       7.18        6.44       6.44        6.27     1.15    [1.13,1.16]    1.12      1.12
                           0.72       7.73        6.81       6.81        6.67     1.16    [1.15,1.17]    1.13      1.13
                           0.73       8.26        7.20       7.20        7.09     1.17    [1.16,1.17]    1.15      1.15
                           0.74       8.81        7.61       7.61        7.55     1.17    [1.12,1.17]    1.16      1.16
                           0.75       9.56        9.48       9.48        8.15     1.17    [1.03,1.18]    1.01      1.01
                           0.76      10.30        9.96       9.96        9.56     1.08    [1.05,1.10]    1.03      1.03
                           0.77      11.06       10.46      10.46        9.81     1.13    [1.10,1.15]    1.06      1.06
                           0.78      11.87       10.99      10.99       10.07     1.18    [1.15,1.21]    1.08      1.08
                           0.79      12.83       11.54      11.54       10.45     1.23    [1.20,1.25]    1.11      1.11
                           0.80      13.95       12.13      12.13       11.10     1.26    [1.24,1.27]    1.15      1.15
                           0.81      15.21       12.74      12.74       12.08     1.26    [1.16,1.28]    1.19      1.19
                           0.82      16.55       13.38      13.38       13.38     1.24    [1.19,1.28]    1.24      1.24
                           0.83      18.24       14.06      14.06       14.03     1.30    [1.27,1.32]    1.30      1.30
                           0.84      19.88       19.62      19.72       14.96     1.33    [1.24,1.34]    1.01      1.01
                           0.85      22.00       20.78      21.07       18.96     1.16    [1.13,1.29]    1.04      1.06
                           0.86      24.67       22.01      22.51       19.30     1.28    [1.22,1.35]    1.10      1.12
                           0.87      27.87       23.31      24.05       19.65     1.42    [1.33,1.43]    1.16      1.20
                           0.88      34.30       24.69      45.61       24.29     1.41    [1.26,1.52]    0.75      1.39
--------------------------------------------------------------------------------------------------------------------

fidelity ceiling by method
         point         threshold    adaptive_count  fixed_count_mmpp     adaptive_mmpp
        sigma0            0.9049            0.9041            0.9126            0.9131
     sigma0.05            0.9001            0.9000            0.9094            0.9104
      sigma0.1            0.9015            0.9014            0.9124            0.9131
      sigma0.2            0.8925            0.8923            0.9031            0.9030
      sigma0.3            0.8833            0.8830            0.8874            0.8892

end-to-end speedup including per-shot overhead (F* = 0.85)
        sigma0   0 us: 1.32x,  5 us: 1.23x,  20 us: 1.13x,  100 us: 1.04x
     sigma0.05   0 us: 1.32x,  5 us: 1.23x,  20 us: 1.13x,  100 us: 1.04x
      sigma0.1   0 us: 1.30x,  5 us: 1.22x,  20 us: 1.12x,  100 us: 1.04x
      sigma0.2   0 us: 1.33x,  5 us: 1.24x,  20 us: 1.14x,  100 us: 1.04x
      sigma0.3   0 us: 1.16x,  5 us: 1.13x,  20 us: 1.08x,  100 us: 1.03x
